
Frame Num | Time (ms) -----------------------------------------------------
1| 222
2| 32
3| 30
4| 27
5| 29
6| 27
7| 30
8| 27
9| 27
10| 28
11| 31
12| 27
13| 29
14| 38
15| 36
16| 29
17| 30
18| 29
19| 27
20| 32
21| 32
22| 30
23| 31
24| 30
25| 33
26| 31
27| 31
28| 27
29| 32
30| 26
31| 26
32| 27
33| 27
34| 27
35| 27
36| 26
37| 29
38| 29
39| 34
40| 29
41| 28
42| 29
43| 28
44| 29
45| 27
46| 28
47| 30
48| 27
49| 29
50| 26
51| 28
52| 36
53| 27
54| 29
55| 27
56| 28
57| 29
58| 26
59| 27
60| 36
61| 26
62| 29
63| 27
64| 26
65| 28
66| 28
67| 33
68| 27
69| 35
70| 27
71| 28
72| 27
73| 27
74| 26
75| 28
76| 25
77| 26
78| 25
79| 25
80| 28
81| 25
82| 29
83| 26
84| 25
85| 26
86| 31
87| 28
88| 24
89| 25
90| 26
91| 30
92| 26
93| 26
94| 25
95| 26
96| 25
97| 26
98| 27
99| 27
100| 25
101| 26
102| 28
103| 25
104| 27
105| 26
106| 27
107| 25
108| 25
109| 26
110| 25
111| 30
112| 29
113| 25
114| 25
115| 26
116| 25
117| 29
118| 26
119| 26
120| 25
121| 27
122| 24
123| 26
124| 31
125| 26
126| 25
127| 25
128| 26
129| 28
130| 28
131| 26
132| 26
133| 25
134| 26
135| 29
136| 27
137| 28
138| 25
139| 27
140| 28
141| 28
142| 29
143| 33
144| 28
145| 28
146| 27
147| 30
148| 27
149| 28
150| 27
151| 26
152| 27
153| 27
154| 29
155| 26
156| 26
157| 27
158| 27
159| 29
160| 27
161| 27
162| 27
163| 27
164| 29
165| 26
166| 26
167| 27
168| 27
169| 28
170| 27
171| 27
172| 26
173| 27
174| 27
175| 27
176| 28
177| 27
178| 27
179| 26
180| 27
181| 26
182| 27
183| 26
184| 27
185| 28
186| 27
187| 26
188| 28
189| 26
190| 27
191| 25
192| 27
193| 26
194| 26
195| 26
196| 26
197| 30
198| 27
199| 27
200| 26
201| 26
202| 26
203| 26
204| 25
205| 27
206| 26
207| 26
208| 25
209| 28
210| 25
211| 27
212| 27
213| 26
214| 29
215| 27
216| 26
217| 27
218| 28
219| 26
220| 26
221| 26
222| 26
223| 27
224| 29
225| 25
226| 26
227| 27
228| 26
229| 27
230| 25
231| 26
232| 27
233| 27
234| 26
235| 26
236| 27
237| 25
238| 26
239| 27
240| 26
241| 25
242| 27
243| 27
244| 27
245| 26
246| 26
247| 26
248| 32
249| 29
250| 31
251| 29
252| 27
253| 31
254| 29
255| 28
256| 26
257| 31
258| 27
259| 27
260| 27
261| 31
262| 28
263| 27
264| 29
265| 28
266| 27
267| 30
268| 29
269| 32
270| 32
271| 53
272| 33
273| 31
274| 44
275| 28
276| 29
277| 27
278| 27
279| 27
280| 34
281| 28
282| 30
283| 29
284| 27
