
Colour (R, G, B) | Click Pos | Frame Num ----------------------------------------------

Colour (R, G, B) | Click Pos | Frame Num ----------------------------------------------
(115, 75, 115) | (158, 211) | 467
(115, 75, 115) | (158, 211) | 468
(115, 75, 115) | (158, 211) | 469
(115, 75, 115) | (158, 211) | 470
(117, 74, 117) | (170, 211) | 471
(122, 72, 122) | (201, 211) | 472
(130, 68, 130) | (247, 211) | 473
(138, 63, 138) | (297, 211) | 474
(149, 57, 149) | (362, 211) | 475
(157, 56, 157) | (402, 217) | 476
(162, 55, 162) | (425, 223) | 477
(168, 55, 168) | (448, 234) | 478
(171, 56, 171) | (456, 242) | 479
(175, 58, 175) | (464, 252) | 480
(178, 60, 178) | (467, 262) | 481
(181, 62, 181) | (468, 273) | 482
(184, 65, 184) | (468, 288) | 483
(186, 71, 186) | (455, 307) | 484
(188, 78, 188) | (436, 324) | 485
(189, 86, 189) | (409, 340) | 486
(187, 103, 187) | (336, 363) | 487
(179, 121, 179) | (231, 371) | 488
(163, 142, 163) | (85, 366) | 489
(144, 144, 144) | (5, 339) | 490
(57, 16, 57) | (166, 43) | 495
(83, 2, 83) | (323, 6) | 496
(192, 9, 192) | (719, 75) | 498
(212, 12, 212) | (788, 133) | 499
(224, 14, 224) | (827, 182) | 500
(230, 15, 230) | (847, 224) | 501
(234, 17, 234) | (857, 267) | 502
(236, 19, 236) | (857, 298) | 503
(236, 21, 236) | (846, 319) | 504
(234, 27, 234) | (818, 341) | 505
(231, 33, 231) | (782, 351) | 506
(227, 40, 227) | (734, 355) | 507
(221, 49, 221) | (677, 355) | 508
(213, 57, 213) | (618, 348) | 509
(199, 65, 199) | (529, 323) | 510
(189, 67, 189) | (483, 305) | 511
(177, 66, 177) | (438, 276) | 512
(174, 65, 174) | (431, 269) | 513
(171, 64, 171) | (422, 259) | 514
(169, 62, 169) | (421, 254) | 515
(169, 62, 169) | (421, 252) | 516
(168, 62, 168) | (421, 251) | 517
